,index,Unnamed: 0,Title,Year_x,Publisher_x,Genre_x,Platform_x,Metascore,Avg_Userscore,No_Players,Rank,Name,Platform_y,Year_y,Genre_y,Publisher_y,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
203,203,44,LittleBigPlanet,2008,"SCE/WWS,MediaMolecule",Action;Platformer;Platformer;3D;2D;3D,PlayStation3,95,6.8,Up to 4 ,593,LittleBigPlanet,PSP,2009.0,Platform,Sony Computer Entertainment,0.64,1.24,0.01,0.69,2.58
204,204,1056,LittleBigPlanet,2009,"SCE/WWS,MediaMolecule",Action;Platformer;Platformer;3D;2D;3D,PSP,87,7.8,1-4 ,149,LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92
205,205,1056,LittleBigPlanet,2009,"SCE/WWS,MediaMolecule",Action;Platformer;Platformer;3D;2D;3D,PSP,87,7.8,1-4 ,593,LittleBigPlanet,PSP,2009.0,Platform,Sony Computer Entertainment,0.64,1.24,0.01,0.69,2.58
206,206,46,Red Dead Redemption,2010,RockstarSanDiego,Action;Shooter;Third-Person;Historic;Action Adventure;Historic;Historic;Open-World,PlayStation3,95,8.9,Up to 16 ,124,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
207,207,46,Red Dead Redemption,2010,RockstarSanDiego,Action;Shooter;Third-Person;Historic;Action Adventure;Historic;Historic;Open-World,PlayStation3,95,8.9,Up to 16 ,135,Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
208,208,57,Red Dead Redemption,2010,RockstarSanDiego,Action;Action Adventure;Shooter;Historic;Historic;Open-World;Third-Person;Historic,Xbox360,95,9.0,Up to 16 ,124,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6
209,209,57,Red Dead Redemption,2010,RockstarSanDiego,Action;Action Adventure;Shooter;Historic;Historic;Open-World;Third-Person;Historic,Xbox360,95,9.0,Up to 16 ,135,Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34
210,210,47,Gran Turismo 3: A-Spec,2001,PolyphonyDigital,Driving;Racing;GT / Street,PlayStation2,95,8.4,1-2 ,29,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
211,211,48,Halo 2,2004,BungieSoftware,Action;Shooter;First-Person;Sci-Fi,Xbox,95,8.2,1-16 ,80,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
212,212,48,Halo 2,2004,BungieSoftware,Action;Shooter;First-Person;Sci-Fi,Xbox,95,8.2,1-16 ,10818,Halo 2,PC,2007.0,Shooter,Microsoft Game Studios,0.01,0.06,0.0,0.02,0.1
213,213,49,The Legend of Zelda: A Link to the Past,2002,Capcom,Action Adventure;Fantasy,GameBoyAdvance,95,8.9,not specified,232,The Legend of Zelda: A Link to the Past,SNES,1991.0,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
214,214,49,The Legend of Zelda: A Link to the Past,2002,Capcom,Action Adventure;Fantasy,GameBoyAdvance,95,8.9,not specified,552,The Legend of Zelda: A Link to the Past,GBA,2002.0,Action,Nintendo,1.75,0.52,0.33,0.1,2.7
215,215,50,The Legend of Zelda: Majora's Mask,2000,Nintendo,Action Adventure;Fantasy,Nintendo64,95,9.1,1 Player,399,The Legend of Zelda: Majora's Mask,N64,2000.0,Action,Nintendo,1.9,0.67,0.73,0.06,3.36
216,216,51,The Last of Us,2013,NaughtyDog,Modern;Adventure;General;Action Adventure;General;Modern,PlayStation3,95,9.2,Up to 8 ,147,The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99
